MANAGEMENT_TYPE_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,REGION,SPP_NAME,SECTOR_ID
PERMIT REQUIREMENTS AND ENDORSEMENTS,FEDERAL,EEZ,SHRIMP FISHERY OF THE SOUTH ATLANTIC,COMMERCIAL,SOUTH ATLANTIC,ALL,958
OBSERVER REQUIREMENT,FEDERAL,EEZ,SHRIMP FISHERY OF THE SOUTH ATLANTIC,COMMERCIAL,SOUTH ATLANTIC,"SHRIMP, ROCK",959
OBSERVER REQUIREMENT,FEDERAL,EEZ,SHRIMP FISHERY OF THE SOUTH ATLANTIC,COMMERCIAL,SOUTH ATLANTIC,OBSERVER REQUIREMENT: PENAEID SHRIMP,960
REGULATORY REPORTING,FEDERAL,EEZ,SHRIMP FISHERY OF THE SOUTH ATLANTIC,COMMERCIAL,SOUTH ATLANTIC,"SHRIMP, ROCK",961
REGULATORY REPORTING,FEDERAL,EEZ,SHRIMP FISHERY OF THE SOUTH ATLANTIC,COMMERCIAL,SOUTH ATLANTIC,REGULATORY REPORTING: PENAEID SHRIMP,962
BRD REQUIREMENT,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,RECREATIONAL,GULF OF MEXICO,BRD REQUIREMENTS: ALL SHRIMP SPECIES EXCEPT ROYAL RED,963
BRD REQUIREMENT,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,GULF OF MEXICO,BRD REQUIREMENTS: ALL SHRIMP SPECIES EXCEPT ROYAL RED,964
CONSOLIDATION OF ONGOING REGULATIONS,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,CARIBBEAN,ALL,965
CONSOLIDATION OF ONGOING REGULATIONS,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,CARIBBEAN,ALL,966
ELECTRONIC REPORTING,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,COMMERCIAL,SOUTH ATLANTIC,ALL,967
PROHIBITED GEAR,FEDERAL,EEZ,QUEEN CONCH RESOURCES OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,CARIBBEAN,"CONCH, QUEEN",968
PROHIBITED GEAR,FEDERAL,EEZ,QUEEN CONCH RESOURCES OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,CARIBBEAN,"CONCH, QUEEN",969
MINIMUM SIZE LIMIT,FEDERAL,EEZ,QUEEN CONCH RESOURCES OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,CARIBBEAN,"CONCH, QUEEN",970
MINIMUM SIZE LIMIT,FEDERAL,EEZ,QUEEN CONCH RESOURCES OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,CARIBBEAN,"CONCH, QUEEN",971
CLOSURE,FEDERAL,EEZ,QUEEN CONCH RESOURCES OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,CARIBBEAN,"CONCH, QUEEN",972
CLOSURE,FEDERAL,EEZ,QUEEN CONCH RESOURCES OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,CARIBBEAN,"CONCH, QUEEN",973
LANDED INTACT,FEDERAL,EEZ,QUEEN CONCH RESOURCES OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,CARIBBEAN,"CONCH, QUEEN",974
LANDED INTACT,FEDERAL,EEZ,QUEEN CONCH RESOURCES OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,CARIBBEAN,"CONCH, QUEEN",975
BAG LIMIT,FEDERAL,EEZ,QUEEN CONCH RESOURCES OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,CARIBBEAN,"CONCH, QUEEN",976
ACL,FEDERAL,EEZ,QUEEN CONCH RESOURCES OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,CARIBBEAN,"CONCH, QUEEN",977
ACL,FEDERAL,EEZ,QUEEN CONCH RESOURCES OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,CARIBBEAN,"CONCH, QUEEN",978
PROHIBITED SPECIES,FEDERAL,EEZ,QUEEN CONCH RESOURCES OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,CARIBBEAN,"CONCH, QUEEN",979
PROHIBITED SPECIES,FEDERAL,EEZ,QUEEN CONCH RESOURCES OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,CARIBBEAN,"CONCH, QUEEN",980
ALLOWABLE SPECIES,FEDERAL,EEZ,QUEEN CONCH RESOURCES OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,CARIBBEAN,"CONCH, QUEEN",981
ALLOWABLE SPECIES,FEDERAL,EEZ,QUEEN CONCH RESOURCES OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,CARIBBEAN,"CONCH, QUEEN",982
CLOSURE,FEDERAL,EEZ,QUEEN CONCH RESOURCES OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,CARIBBEAN,ALL,983
CLOSURE,FEDERAL,EEZ,QUEEN CONCH RESOURCES OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,CARIBBEAN,ALL,984
BRD REQUIREMENT,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,RECREATIONAL,GULF OF MEXICO,ALL,985
