MANAGEMENT_TYPE_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR_USE,REGION,SPP_NAME,CLUSTER
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,ALL,CARIBBEAN,"PARROTFISH, REDFIN",2456
MINIMUM SIZE LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,ALL,CARIBBEAN,"PARROTFISH, REDFIN",2457
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,ALL,CARIBBEAN,"HIND, RED",2458
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,"HIND, RED",2459
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,ALL,CARIBBEAN,"SNAPPER, MUTTON",2460
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,"SNAPPER, MUTTON",2461
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,ALL,CARIBBEAN,"HIND, RED",2462
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,ALL,CARIBBEAN,"HIND, RED",2463
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,ALL,CARIBBEAN,"SNAPPER, MUTTON",2464
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,ALL,CARIBBEAN,"SNAPPER, MUTTON",2465
